dialog,act,emotion
"['Do you have a good English-Chinese dictionary ? '
 ' Sure . How about this one ? ' ' Is this the latest edition ? '
 ' Yes . We have both the paperback and the hardcover . '
 "" What's the difference ? "" ' The hardcover is more expensive . '
 "" Oh ! I see . I'll have the paperback , please , ""]",[2 2 2 1 2 1 3],[0 0 0 0 0 0 0]
"[""Mom . I have to go school shopping . There's only one more week left . ""
 ' Do you need money or what ? '
 ' I have this list of stuff that I need and I only have half the dough . '
 ' Half the dough huh . Well . How would you like to earn the other half ? '
 "" Do I have a choice ? Uh . That's a no . What can I do ? ""
 "" I thought you'd never ask . The lawn needs to be mowed and the garage deserves to be cleaned . ""]",[1 2 1 2 2 1],[0 0 0 0 0 0]
"[""I'm afraid I have to return this sweater . ""
 "" May I ask if there's anything wrong with it ? ""
 ' You see , there is a run at the neck . '
 ' Oh , sorry.But do you want to change it for another one ? '
 ' No , thank you . ']",[3 3 4 2 1],[5 0 0 0 4]
"[""Mr . : There are two things that you'll need to know . ""
 ' What are they ? '
 ' Mr . : The school has three lunch periods , and the kids are divided into three groups to go to lunch . '
 ' Wow ! '
 ' Mr . : Furthermore , when you are dismissed in the afternoon , you will be divided into two waves . '
 ' Two waves ? '
 "" Mr . : The school parking lot is not big enough for all the school buses to come in at one time . So only half the buses come in first to pick up the first wave's students . ""
 ' And the other half come in later to pick up the second wave . ']",[3 2 1 1 3 2 1 1],[0 0 0 5 0 0 0 0]
"['I was wondering whether you could ship the tennis racket overseas to Taiwan . '
 "" I'm sorry we don't ship overseas . It's too much trouble . ""
 "" I understand you don't have a history of shipping overseas , but I am willing to pay extra for shipping . ""
 ' Maybe we could make an exception for you if you win the bid . '
 ' Thanks so much ! By the way , is the racket really Serena Williams ’ ? '
 "" Yes . You'll get a picture of Serena playing with the racket and a document from her . ""]",[3 4 3 4 2 1],[0 5 0 0 4 0]
"['Is this the front desk ? ' ' Yes , sir . What can I do for you ? '
 "" This is Room 705 . The air conditioner in my room doesn't work . ""
 "" I'll have that taken care of immediately . ""
 ' And may I have two more towels , please ? '
 "" No problem . We'll bring you the towels in just a minute . ""
 ' Thanks . ']",[2 2 3 4 3 4 1],[0 0 0 0 0 0 4]
"['Is this taxi taken ? ' ' No , madam . May I help you ? '
 ' Yes . Will you take me to the station ? '
 ' No problem.Step in , please . ' ' Thanks . ']",[2 2 3 4 1],[0 0 0 4 4]
"['Mrs . Montgomery ? I ’ Ve been trying to figure out when we should have the New Year ’ s party . Could you take a book at these dates ? '
 ' Sure . The twenty-ninth is out . I ’ ll be out of the office all day at a seminar . Either the twenty-eighth or the thirtieth is fine . '
 ' Well , why don ’ t we make it the thirtieth ? We can set it up from three to five . That way , everybody can just go home afterwards . '
 ' Sounds good to me . You make up the invitations , I ’ Ve got run . I ’ Ve got a meeting in five minutes . ']",[3 4 3 4],[0 0 0 0]
"['Every teacher likes him . ' ' They say he can sum up like winking . '
 ' How he manages to do that is always a mystery to me . '
 "" Maybe he's gifted in that . ""]",[1 1 1 1],[4 4 0 0]
"['John , it ’ s time to get up . ' ' It can ’ t be time to get up yet . '
 ' It is . Hurry up ! You ’ ll be late for school . '
 ' What ’ s the time ? ' ' It ’ s nearly half past seven . '
 ' My watch says ten past . '
 ' It ’ s slow . Hurry up ! The bus goes at twenty to eight . '
 ' Are you sure half past seven ? '
 ' Positive . I ’ ll put the radio on . '
 ' ( And here is the seven o ’ clock news ) It ’ s only seven o ’ clock . Your watch is fast . '
 ' No , it isn ’ t . It ’ s stopped . I forgot to wind it up last night . '
 ' I could have stayed in bed for another half hour . ']",[3 4 3 2 1 1 3 2 1 1 1 1],[0 0 1 0 0 0 1 0 0 0 0 0]
"['What date is it today ? ' ' Why ? '
 "" Look at the girls in the street . They all have a bunch of flowers.Is it Valentine's Day ? ""
 ' Oh , yes ! I completely forgot about it . '
 ' Did you have a fight with Jack ? '
 "" No , but now he'll be in trouble . What's a boyfriend for ? To forget about Valentine's Day ? ""
 ' Come on , dear ! You forgot it , too . '
 ' You know , it\'s OK for a girl to forget these "" big days "" , but for a guy , to do that is unforgivable . '
 ' Is that your phone ? ' "" Oh , it's Jack . Excuse me . ""
 ' Wow ! Good timing . '
 ' He asked me out to a dinner tonight . How about joining us ? '
 "" Come on ! Three's a crowd ! "" ' So what ? '
 "" Just go ! It's Valentine's Day ! ""]",[2 2 2 1 2 2 1 1 2 1 1 3 4 2 1],[0 0 0 6 0 1 0 1 0 4 0 4 0 0 4]
"[""Good morning.So this is the first day for you to work here , I hope you'll like your job . ""
 "" Good morning , Ms.Wilson . I've got a lot to learn from you . I think I'll enjoy working with you . ""
 ' I hope so.Now let me tell you your duties here.This is your desk.Please sit down . '
 ' Thank you . '
 ' Your main duty is to answer the phone calls and transfer them to the person wanted . '
 ' I see.What if the person wanted is out ? '
 ' In that case , you are supposed to ask the caller to leave a message . '
 ' Is there anything else I should do ? '
 ' Yes , you are responsible for keeping all files in order . '
 ' All right . ' ' If you have any questions . I will help you . '
 ' Thank you . ']",[1 1 3 4 3 2 3 2 3 4 3 4],[4 4 0 0 0 0 0 0 0 0 0 0]
"['Can I help you ? ' ' I want to buy a hat . ' ' Come here , please . '
 ' Is this one fit for you ? It is nice . ' "" I don't like the style . ""
 ' How about this one ? ' ' Black is not my favorite colour . '
 "" You must like this pink one , don't you ? ""
 "" It's pretty . How much is it ? "" ' Fifty yuan . '
 "" It's too expensive . Can you come down a little ? ""
 ' How about forty-five ? ' "" I'll buy it if forty . "" ' OK . ']",[2 1 3 3 4 3 4 2 2 1 2 3 4 1],[0 0 0 0 0 0 0 0 4 0 0 0 0 4]
"['What are you going to do with that vase , Penny ? '
 ' I ’ m going to put it on this table , Sam . '
 ' Don ’ t do that . Give it to me . '
 ' What are you going to do with it ? '
 ' I ’ m going to put it here , in front of the window . '
 ' Be careful . Don ’ t drop it ! Don ’ t put it there , Sam . Put it here , on this shelf . '
 ' There we are ! It ’ s a lovely vase . '
 ' Those flowers are lovely , too . ']",[2 1 3 2 1 3 4 1],[0 0 0 0 0 0 4 4]
"['have you bought a present for jim ’ s birthday yet ? '
 ' no , I haven ’ t . I can ’ t think of anything to get him . '
 ' I ’ m having the same problem . I want to get something really special . Jim always seem to know exactly what to get people as gifts . '
 ' I know . He bought me that beautiful sweater for my birthday . It was exactly what I wanted . And it fit me perfectly ! '
 ' he bought me an iron . '
 ' that doesn ’ t sound like a great present . '
 ' maybe not , but my iron was getting old . In fact , it stopped working the week after jim bought me the new one . It ’ s as if he knew that my old iron would soon stop working ! '
 ' let ’ s think . He loves football , doesn ’ t he ? I saw signed photographs of famous footballers in a shop near hear . Let ’ s go and have a look . You know which team he supports , don ’ t you ? '
 ' yes , I do . Let ’ s go . We should be able to find something suitable . We should get him something old ... something historic . '
 ' it ’ ll be an expensive present , but we can share the cost . '
 ' I ’ ll be happy to get him something special , even if it coasts a little extra . '
 ' yes . He always get us special gift . We should repay his kindness . ']",[2 1 1 1 1 1 1 2 3 4 1 1],[0 0 0 4 0 0 0 0 4 0 4 4]
"[""Oh my God ! I can't find my first period American literature class . ""
 ' You look lost . Can I help you ? '
 "" Aren't you the guy who sat in front of me in our homeroom ? ""
 "" Yeah . I'm Brad . ""
 "" I'm Mary . I can't find my American literature class . ""
 ' What room is it ? ' "" It's 112 . ""
 "" It's on the first floor by the nurse's office . ""
 "" Thanks a lot , Brad . I've got to go before the bell rings . ""]",[1 2 2 1 1 2 1 3 4],[0 0 0 0 0 0 0 0 0]
"['Do you often do exercise ? ' ' Certainly . '
 ' OK , and what kind of sports do you usually play ? '
 ' I often play badminton with my parents . '
 "" You ? Play badminton ? That's unbelievable ! You are shorter than a racket . ""
 "" Hey , I'm good at playing it . "" ' Says who ? ' ' My parents . '
 ' Oh , I see . ' ' How about you , Daniel ? '
 "" I'm a real man , and I like football . ""
 ' Well , who is your favorite football player ? '
 ' I like Renaldo the most . ']",[2 1 2 1 2 1 2 1 1 2 1 2 1],[0 0 0 0 6 0 0 0 0 0 0 0 0]
"['You look like being on cloud nine . ' ' I am . '
 ' What has made you so happy ? ' "" I think I'm in love . ""
 "" Are you ? Who's the lucky girl ? "" ' Her name is Jenny . '
 ' How did you meet her ? '
 ' We are in the same math class . Our teacher sat us next to each other . '
 ' What do you like best about her ? '
 "" She's very funny . She makes me laugh all the time . ""
 ' I guess it was fate working to bring you together . '
 "" Whatever brought us together , I'm happy . ""]",[1 1 2 1 2 1 2 1 2 1 1 1],[0 0 0 4 6 0 0 0 0 4 0 4]
"['Why am I being arrested ? ' ' You have a warrant out for your arrest . '
 "" I don't have a warrant . ""
 ' My computer shows that you have a bench warrant . '
 "" I don't know what a bench warrant is . ""
 ' You apparently missed a court appearance . '
 ' I was never told to go to court . '
 "" There's nothing I can do about that . "" "" This isn't fair . ""
 "" That's life . "" ' What about my rights ? '
 ' Anything you say can and will be used against you in a court of law . ']",[2 1 1 1 1 1 1 1 1 1 2 1],[1 0 1 0 1 0 1 0 1 0 1 0]
['OK . Everything is in the bag . ' ' Excellent ! Let ’ s set off . '],[1 1],[0 0]
"['Did you hear the good news ? ' "" No , I haven't . ""
 ' I got a promotion at my job . ' ' Did you really ? '
 ' Seriously , I am so excited . ' ' Well , congratulations . '
 ' Thank you . ' "" I'm so happy for you . "" ' Really ? '
 ' Yes . You really deserved this . ' ' You think so ? '
 ' Yes . Good for you . ']",[2 1 1 2 1 1 1 1 2 1 2 1],[0 0 4 6 4 4 4 4 6 4 0 0]
"['Hello , I would like to make an appointment to look at houses . '
 ' Sure , would you prefer looking in the morning or afternoon ? '
 ' I would prefer mornings . '
 ' Can you go during the week , or can you only go during the weekend ? '
 ' Going to look at houses during the week is best for me . '
 ' Where would you like me to pick you up ? '
 ' I will meet you at the real estate office . '
 ' I am thinking of looking at three houses , and it will take about two hours . '
 ' That sounds good to me . '
 ' Once I contact the owners and confirm the times , I will e-mail you a schedule . ']",[3 2 1 2 1 2 1 3 4 1],[0 0 0 0 0 0 0 0 4 0]
"[""Steven , we are preparing a martial arts show for the New Year's party . Would you like to join us ? ""
 "" I'd love to ! But I have never learned martial arts , and there is only a month left before the New Year . ""
 "" That's OK . A month is enough for you to learn the basic movements . It would be great to have you with us on the show . ""
 ' Sounds great ! Shall I learn the actions that Jet Li did in the movies ? '
 ' No . You know , there are many schools and styles of kung fu . What we will perform is a set of Chinese shadow boxing . '
 "" Whatever ! I'm glad to learn something of Chinese kung fu . Thanks for asking me . ""
 "" Thank you for joining us ! Now let's see some pictures and know more about kung fu . ""
 ' Good ! ']",[2 1 1 2 1 1 1 1],[0 4 0 4 0 4 4 4]
"['Do you think we can get to the airport by 8 '
 "" We should make it , if there isn't too much traffic . ""
 ' Is it the rush hour now ? ' "" Yes , but don't worry . We'll make it . ""]",[2 1 2 1],[0 0 0 0]
"['What a nice tie you are wearing ! '
 ' Thank you.But does it really look all right ? '
 ' Certainly.It matches your suit perfectly . '
 ' Then does it go well with my sweater ? '
 ' Yes.You look very smart today . ' ' Thank you very much . ']",[1 2 1 2 1 1],[4 4 4 4 4 4]
"['What a wonderful dinner ! '
 ' Thank you . I am glad that you are enjoying it . '
 ' Where did you get your fantastic recipes ? '
 ' I grew up cooking . My mother shared her recipes with me . '
 ' I especially like the wonderful chicken dish . '
 ' That is a special coconut ginger chicken with rice dish . '
 ' Is that shrimp in the soup ? '
 ' Yes , do you like it ? I added a little extra lemon grass and some sea vegetables . '
 ' I am happy that the wine I brought for you works well with this meal . '
 ' Yes , thank you for bringing the wine . It really complements the meal . ']",[1 1 2 1 1 1 2 1 1 1],[0 0 0 0 4 0 0 0 4 4]
"[""Well , what's the matter with you ? ""
 "" I've got a sore throat and my chest hurts . ""
 ' Have you got a headache ? ' ' Yes , I ache all over . '
 ' Are you coughing much ? ' ' A little bit . '
 "" Now , let me listen to your chest . Ah , you have a temperature . Breathe deeply . That's right . Well , don't worry , it's only a throat infection . There's nothing wrong with your lungs . And how is your appetite ? ""
 "" It's gone completely . ""
 "" Show me your tongue , please . All right , stay in bed and keep yourself warm . I'll prescribe some pills for you to take . ""
 ' Is that all doctor ? '
 "" Yes . You'll be better in a few days , I'm sure . ""
 ' Thank you , doctor . Goodbye . ' ' Goodbye . ']",[2 1 2 1 2 1 1 1 3 2 3 4 1],[0 5 0 5 0 0 0 5 0 0 0 0 0]
"['What are the requirements to apply for the position ? '
 ' Your major must be computer . '
 ' Do you think my educational background suits this position ? '
 ' Yes , I ’ m quite satisfied with your qualifications . '
 ' Does this job require that new employees take any kind of training course ? '
 ' Generally speaking , training new members is usually necessary . We offer our new employees a one-week training course . '
 ' Could you tell something about the job ? '
 ' Yes , of course . You will be responsible for the designing and developing new products and also be in charge of the evaluation of the software programs including complex software systems to ensure product features and operation complaints . '
 ' Oh , I see . I believe I can do the job well . ']",[2 3 2 1 2 3 3 3 4],[0 0 0 0 0 0 0 0 0]
"['What a mess , Jack ! ' ' I ’ m playing with my toys , Dad . '
 ' You ’ d better tidy up the room now , or you ’ ll get your mum ’ s back up . ']",[1 1 3],[1 0 0]
"[""What's wrong with you ? ""
 ' I have got a run . Can you tell me where is the restroom ? '
 "" It's just around the comer.Would you need some pills ? ""
 ' No , thank you . I have brought some . ']",[2 2 2 1],[0 0 0 0]
"['The portions here are man sized . We usually end up taking half of the meal home with us . '
 ' Everything looks so good . Is there anything in particular that you recommend ? '
 "" Hey , sis . You know me , if I don't like everything on the menu , I don't go back to the restaurant ! ""
 "" So you're saying I can't go wrong with anything I order ? In that case ... ""
 "" Wait , you love salmon , don't you ? They have the best salmon pasta . ""
 ' That sounds really good ! Does it come with a soup ? '
 "" Soup and bread and salad bar ! I'm telling you , these people know how to keep you coming back ! ""
 ' I see what you mean ! ']",[1 2 1 2 2 2 1 1],[0 0 0 0 0 0 0 0]
"['Hello , Is this room service ? ' ' Yes , May I help you ? '
 ' This is the room 1425 , we asked for the room service an hour ago . '
 ' we are very sorry to cause you a lot of inconvenience . '
 "" What's the matter ? ""
 "" We're rather busy right now . It will take another 15minutes ""
 ' Is it really going to take that long , will you rush the order ? '
 "" I'm afraid it will take 15 minutes at most . ""
 ' ha , well , we have no choice . ']",[2 2 3 4 2 3 4 3 4],[0 0 0 0 0 0 0 0 0]
"['Wow , American football is more exciting than I thought . '
 ' You ’ re in America now , my British friend . We just call it football . '
 ' Oh , right . So , I can ’ t quite follow what ’ s going on ... who ’ s winning ? '
 ' The Giants are up by three points because of the field goal they kicked , but the Redskins have the ball and there pretty close to the end zone . '
 ' Wow ! What a hit ! '
 ' Yeah , he tackled him so hard his helmet came off . ' ' Is he ok ? '
 ' It looks like it , he ’ s getting up . '
 ' I guess he hit him too hard ; the referee just called a penalty on the home team . '
 ' The Giants ? ' ' Yeah . ' ' Well , here we go again . '
 ' What happened ? Why did everyone get so quiet ? '
 ' The Redskin ’ s quarterback just threw a touchdown pass for seven points . We ’ re losing again . ']",[1 1 2 1 1 1 2 1 1 2 1 1 2 1],[4 0 4 4 6 4 0 0 0 0 0 0 0 0]
"['Hi , long time no see . How have you been ? '
 "" Oh , I've been fine , but I'm having some trouble with my son . ""
 ' Tell me all about it . '
 "" Oh , he's 14 and in the past few months , he's become quieter and a bit secretive . He locks himself in his room and I think he's running around with the wrong crowd . ""
 ' Oh , I see . What makes you think that ? '
 "" Well , he's become friends with a couple of older boys who are in a band . And one night last weekend , he came home really late , way past his curfew . ""
 ' Really ? What happened ? '
 "" He told me that his friend's car broke down and they had to walk home . ""
 "" I see what you mean . I understand why you're concerned . Have you tried talking to your son about it ? ""
 "" I haven't yet . I just keep hoping it's just a phase he's going through . ""
 "" You may be right , but it doesn't hurt to find out more about what's going on in his life . ""
 "" You're right . I should talk to him . Sometimes , it's not easy being a parent . Thanks . It helps to get it off my chest . You're always so easy to talk to . ""
 "" I don't know about that , but my door is always open . Stop by anytime . ""]",[2 1 3 4 2 1 2 1 2 1 1 1 1],[0 5 0 5 0 5 6 5 0 0 4 4 4]
"['What else can I do for you today ? '
 "" Well , I've been browsing online , but I ’ m not really sure what to do about payment . I would like to know what the most convenient way to do it is . ""
 "" We'll have our own Secure Internet Banking Service . What it is , is a sort of online financial service for enterprises and individuals , so you could get it . It's for doing all types of e-business . ""
 ' That does sound interesting . How can I get this service ? '
 "" Easy as pie ! We can get everything set up for you right away . Then , you'll be shopping securely online in no time at all . ""]",[2 3 1 2 3],[0 0 0 0 0]
"['What do you plan to do on Sunday morning ? ' ' Nothing special . '
 ' How about going to English corner with me ? ' "" Oh , I'd rather not . ""
 ' Why not ? '
 ' You know , I am poor at English , especially spoken English . '
 "" That's why you should go there , If you don't dare to speak English owing to the fact that you are afraid of making mistakes , you simply will never learn English . ""]",[2 1 3 4 2 1 1],[0 0 0 0 0 0 0]
"[""This is great , isn't it ? "" "" It's the most fun I've had in years . ""
 ' We should do this more often . ' ' Yes , we should . ']",[2 1 3 4],[4 4 4 4]
"[""Hello , Mike , long time no see . How's everything going ? ""
 ' Not bad . Thank you . You look great today . And how is your husband ? '
 ' He caught a cold yesterday , but he feels much better now . '
 "" Well , I'm glad to hear that . Please give my regards to him . ""
 ' I sure will . Thanks . ']",[2 2 1 3 4],[0 0 0 4 4]
"[""Excuse me.Have you got any books on genetic engineering ? I've looked for them everywhere , but I can't find any . ""
 "" I'm not sure if we've got any now.Books of that kind are on this shelf.Well , I'm afraid we've sold out . ""
 ' What a pity ! I should have come earlier . '
 "" Come some time next week if you like . I think we'll have got some by them . ""
 ' Ok , I will . ']",[2 1 1 3 4],[0 0 5 0 0]
"['Is there a sofa in the living room ? ' ' I am afraid there isn ’ t . '
 ' That ’ s too bad . Is there a desk in the living room then ? '
 ' There is a desk and two chairs . ' ' Where are the chairs ? '
 ' They are behind the door . ']",[2 1 2 1 2 1],[0 0 0 0 0 0]
"['How do you like this waltz ? '
 "" It's very nice , I like it very much . ""
 ' Well , then , may I invite you for the first dance ? '
 "" My pleasure . But I'm afraid I'm not much of a dancer , and I suppose you dance often . ""
 ' Me ? Oh , no . In fact , I took up dancing quite recently . '
 "" Oh , really ? But you're doing the waltz wonderfully well . ""
 "" I'm glad you say so , you dance beautifully too . It's lucky that I got a partner . ""
 "" Thank you for your compliments.It ' s just that you are a good leader . Do you like the fox-trot and tango ? ""
 ' Yes . And what dances do you do best ? '
 "" Disco is my favorite . I like it better than any other dances because it can release one's pent-up feelings , and is a healthy exercise . But I don't do the rock and roll and the break dance . ""
 ' Oh , well , the music has stopped . Thank you for the dance . '
 "" My pleasure . Let's go and have a drink . "" ' Fine . ']",[2 1 3 4 2 2 1 2 2 1 1 3 4],[4 4 4 4 6 6 4 4 4 4 4 4 4]
"['Would you mind answering a few personal questions ? '
 ' Of course not . '
 ' OK . Does your present employer know that you are going to leave ? '
 ' Yes . I gave her my resignation a few days ago . '
 ' Will she let you leave your present job ? '
 ' Yes , I think she will . '
 ' Why do you want to leave your present job ? '
 "" Well , there are several reasons . I don't think my present job is suitable for me . That's the first reason . Secondly , your company has a good reputation . I think it can offer me more challenging opportunities . Last , frankly speaking , I wish to get higher pay . ""
 ' I appreciate you frankness . Do you know anything about our company ? '
 "" Yes . It's a Korea company and it was built in Beijing five years ago . ""]",[3 4 2 1 2 1 2 1 2 1],[0 0 0 0 0 0 0 0 0 0]
"['In my wedding ceremony , where do my parents sit in the church ? '
 "" The bride's parents ' seating arrangement is on the left side of the aisle and the groom's parents is on the right side . ""
 ' Do friends of the bride always sit on one side of the church and friends of the groom on the other ? '
 ' They usually do . ']",[2 1 2 1],[0 0 0 0]
"[""I'd like to meet you again sometime . ""
 "" That would be great . Actually , can I get your phone number , Ella ? That's assuming you don't mind if I call you sometime . ""
 ' Anytime . You can reach me at 5558929 . '
 ' Ok , got it . I will call you sometime next week . ' ' Fine . '
 "" It's time to go . Bye , Ella . Hope to see you soon "" ' Bye , Jason . ']",[1 1 1 1 1 1 1],[4 4 4 4 4 4 4]
"['I was really glad to hear about your promotion . Congratulations ! '
 ' Thanks , Jane . I was really surprised . I mean there were a lot of qualified people out there . '
 ' Sure , but the work you did was really exceptional ! You definitely deserved it ! '
 ' Thanks a lot . ' ' You are always responsible and careful . '
 "" Jane , I appreciate it very much . I expect to see you get nominated pretty soon , too . You've been doing some great work ! ""
 "" Thank you . I'll try my best . By the way , when do you take over the new position ? ""
 ' Next month . ' ' So what are you responsible for ? '
 "" I'm going to manage the whole accounts department . ""
 ' So you must get higher pay than before . '
 ' Yes , the company will also give me a prize of 1,000 Yuan . '
 "" 1,000 Yuan ? That's great ! So ... ""
 "" OK , I know what you mean . It's my treat . ""
 ' Really ? Can I order anything I want ? ' "" Of course . Let's go . ""]",[1 1 1 1 1 1 2 1 2 1 1 1 3 4 3 4],[4 6 4 4 4 4 0 0 0 0 0 0 0 0 4 4]
"['Good afternoon , sir . May I help you ? '
 ' I want to post this package to the United States . '
 ' Do you want to mail it by air or by sea ? ' ' By sea . ']",[2 3 2 1],[0 0 0 0]
"[""Hi Amanda , how are you ? I've missed working with you and the whole gang since my transfer last week . ""
 "" We've missed you too . The office just isn't the same without you . How is your new job ? ""
 "" It's great . I really get to focus on what I like to do and everyone has been very nice and welcoming . However , I'm having a small problem with my new colleagues . ""
 ' What happened ? '
 ' Well , three people are celebrating their birthdays this month and the policy here is for everyone to contribute ten dollars to a card and cake for each person . '
 "" Wow , so you'll be out thirty dollars on your first week at work ! ""
 "" I know . It is a lot of money and I haven't gotten to know any of the people celebrating their birthdays well enough yet . At our old department , it was only three dollars for each birthday and there were only ten of us . ""
 "" Well , every department is different . You wouldn't want your new co-workers to think you're a Grinch , right ? ""
 ' What is that ? '
 ' A Grinch is a person who spoils the mood at a happy occasion by being selfish or unenthusiastic . You know - a party proper . '
 "" I definitely don't want to be that ! But , I still think it's unreasonable for them to ask me for such a big sum of money when we don't know each other very well . What should I do ? ""]",[2 2 1 2 1 1 1 2 2 1 2],[4 4 4 0 0 4 0 0 0 0 0]
"[""We have a holiday next week , don't we ? "" ' Yes , on Monday . '
 "" What're you going to do ? ""
 "" I'm probably going to spend the day looking at cars . ""
 "" At cars ! You aren't thinking about buying a car , are you ? ""
 "" Yes , I am . I'd like to be able to get around a little more . ""
 "" But it will be expensive to have a car in the city , won't it ? ""
 "" Oh , I don't know.Of course , gasoline costs a lot these days . ""
 "" But what about parking ? You can't park on the street , can you ? ""
 "" A lot of people do . I'll try it for a while anyway , but I certainly don't want to pay a lot of parking tickets . ""]",[2 1 2 1 2 1 2 1 2 1],[0 0 0 0 1 0 1 0 1 0]
"['Did you listen to the weather forecast ? ' ' No.Why ? '
 ' There ’ s a typhoon coming . ' ' No way ! '
 ' Yep , it should be here by tomorrow night . ']",[2 2 1 1 1],[0 0 0 6 0]
"['Have you seen that house ? ' ' Yes , it looks interesting . '
 "" You're right . I love it very much . "" ' It must be old . '
 ' At least more than 100 years old . ' "" Let's enter it ! ""
 "" I can't open the door . "" ' It must be locked . '
 ' Let me ask the old woman in that reception office . '
 "" She can't answer you . "" ' She must be deaf . '
 ' It must be a haunted house . Are you frightened ? '
 ' Frightened ? You must be joking . ']",[2 1 1 1 1 3 4 1 3 4 1 2 1],[4 4 4 4 4 4 0 0 0 0 0 3 0]
